bairro_origem,bairro_destino,logradouro,observacao,peso 
Casa Amarela,Sítio dos Pintos,r.da_harmonia+r.dois_irmaos+r.manuel_de_medeiros+estr.dos_pintos,r=rua; est=estrada,7.5
Casa Amarela,Tamarineira,av.norte_miguel_arraes_de_alencar+av.prof_jose_dos_anjos,av = avenida,2.0
Casa Forte,Derby,av.rui_barbosa,av = avenida,1.0
Casa Forte,Dois Irmãos,av.dezessete_de_agosto+r.de_apipucos+r.dois_irmãos,av = avenida; r = rua,5.0
Casa Forte,Espinheiro,av.rui_barbosa,av = avenida,1.0
Casa Forte,Graças,av.rui_barbosa,av = avenida,1.0
Casa Forte,Jaqueira,r.afonso_de_albuquerque_melo,r = rua,2.0
Casa Forte,Monteiro,av.dezessete_de_agosto,av = avenida,1.0
Casa Forte,Parnamirim,av.dezessete_de_agosto,av = avenida,1.0
Casa Forte,Poço,praça_de_casa_forte+estr.real_do_poço,estr = estrada,3.5
Casa Forte,Santana,praça_de_casa_forte+av.dezessete_de_agosto+r.sant_anna,av = avenida; r = rua,4.0
Casa Forte,Sítio dos Pintos,av.dezessete_de_agosto,av = avenida,1.0
Casa Forte,Tamarineira,av.dezessete_de_agosto,av = avenida,1.0
Derby,Dois Irmãos,av.caxanga,av = avenida,1.0
Derby,Espinheiro,r.do_espinheiro,r = rua,2.0
Derby,Graças,r.das_graças,r = rua,2.0
Derby,Jaqueira,av.conselheiro_rosa_e_silva,av = avenida,1.0
Derby,Monteiro,av.dezessete_de_agosto,av = avenida,1.0
Derby,Parnamirim,r.jose_bonifacio,r = rua,2.0
Derby,Poço,r.jose_bonifacio,r = rua,2.0
Derby,Santana,r.jose_bonifacio,r = rua,2.0
Derby,Sítio dos Pintos,av.caxanga,av = avenida,1.0
Derby,Tamarineira,av.conselheiro_rosa_e_silva,av = avenida,1.0
Dois Irmãos,Espinheiro,av.norte_miguel_arraes_de_alencar,av = avenida,1.0
Dois Irmãos,Graças,av.rui_barbosa,av = avenida,1.0
Dois Irmãos,Jaqueira,estr.do_encanamento,r = rua,1.5
Dois Irmãos,Monteiro,r.caetes+r.de_apipucos,r = rua,4.0
Dois Irmãos,Parnamirim,estr.do_encanamento,estr = estrada,1.5
Dois Irmãos,Poço,r.de_apipucos,r = rua,2.0
Dois Irmãos,Santana,av.dezessete_de_agosto,av = avenida,1.0
Dois Irmãos,Sítio dos Pintos,r.manuel_de_medeiros+estr.dos_pintos,r = rua; estr = estrada,3.5
Dois Irmãos,Tamarineira,av.norte_miguel_arraes_de_alencar,av = avenida,1.0
Espinheiro,Graças,av.gov_agamenon_magalhaes,av = avenida,1.0
Espinheiro,Jaqueira,av.conselheiro_rosa_e_silva,av = avenida,1.0
Espinheiro,Monteiro,estr.do_arraial,estr = estrada,1.5
Espinheiro,Parnamirim,av.conselheiro_rosa_e_silva,av = avenida,1.0
Espinheiro,Poço,av.conselheiro_rosa_e_silva,av = avenida,1.0
Espinheiro,Santana,av.conselheiro_rosa_e_silva,av = avenida,1.0
Espinheiro,Sítio dos Pintos,estr.do_arraial,estr = estrada,1.5
Espinheiro,Tamarineira,av.norte_miguel_arraes_de_alencar,av = avenida,1.0
Graças,Jaqueira,av.conselheiro_rosa_e_silva,av = avenida,1.0
Graças,Monteiro,av.conselheiro_rosa_e_silva+estr.do_arraial,av = avenida; estr = estrada,2.5
Graças,Parnamirim,av.conselheiro_rosa_e_silva,av = avenida,1.0
Graças,Poço,r.jose_bonifacio,r = rua,2.0
Graças,Santana,r.jose_bonifacio,r = rua,2.0
Graças,Sítio dos Pintos,av.caxanga,av = avenida,1.0
Graças,Tamarineira,av.conselheiro_rosa_e_silva+av.santos_dumont,av = avenida,2.0
Jaqueira,Monteiro,estr.do_arraial,estr = estrada,1.5
Jaqueira,Parnamirim,r.do_futuro,r = rua,2.0
Jaqueira,Poço,r.leonardo_bezerra_cavalcante+av.dezessete_de_agosto,av = avenida; r = rua,3.0
Jaqueira,Santana,r.leonardo_bezerra_cavalcante,r = rua,2.0
Jaqueira,Sítio dos Pintos,av.norte+av.caxangá+av.sítio_dos_pintos,av = avenida,3.0
Jaqueira,Tamarineira,r.da_jaqueira+av.norte,av = avenida; r = rua,3.0
Monteiro,Parnamirim,av.são_mateus+av.norte,av = avenida,2.0
Monteiro,Poço,av.beira_rio+av.nossa_senhora_do_rosário,av = avenida,2.0
Monteiro,Santana,av.beira_rio+r.pedro_werneck,av = avenida; r = rua,3.0
Monteiro,Sítio dos Pintos,av.17_de_agosto+av.sítio_dos_pintos,av = avenida,2.0
Monteiro,Tamarineira,av.17_de_agosto+av.norte,av = avenida,2.0
Parnamirim,Poço,av.norte+av.beira_rio,av = avenida,2.0
Parnamirim,Santana,av.norte+r.pedro_werneck,av = avenida; r = rua,3.0
Parnamirim,Sítio dos Pintos,av.norte+av.17_de_agosto+av.sítio_dos_pintos,av = avenida,3.0
Parnamirim,Tamarineira,av.norte,av = avenida,1.0
Poço,Santana,r.pedro_werneck,r = rua,2.0
Poço,Sítio dos Pintos,av.beira_rio+av.17_de_agosto+av.sítio_dos_pintos,av = avenida,3.0
Poço,Tamarineira,av.beira_rio+av.norte,av = avenida,2.0
Santana,Sítio dos Pintos,r.pedro_werneck+av.17_de_agosto+av.sítio_dos_pintos,av = avenida; r = rua,4.0
Santana,Tamarineira,r.pedro_werneck+av.norte,av = avenida; r = rua,3.0
Sítio dos Pintos,Tamarineira,av.sítio_dos_pintos+av.17_de_agosto+av.norte,av = avenida,3.0
Alto José Bonifácio,Alto José do Pinho,r.josé_bonifácio+av.boa_viagem+r.alto_do_pinho,av = avenida; r = rua,5.0
Alto José Bonifácio,Mangabeira,r.josé_bonifácio+av.boa_viagem+av.mangabeira,av = avenida; r = rua,4.0
Alto José Bonifácio,Morro da Conceição,r.josé_bonifácio+av.boa_viagem+r.morro_da_conceição,av = avenida; r = rua,5.0
Alto José Bonifácio,Vasco da Gama,r.josé_bonifácio+av.boa_viagem+av.vasco_da_gama,av = avenida; r = rua,4.0
Alto José do Pinho,Mangabeira,av.boa_viagem+av.mangabeira,av = avenida,2.0
Alto José do Pinho,Morro da Conceição,av.boa_viagem+r.morro_da_conceição,av = avenida; r = rua,3.0
Alto José do Pinho,Vasco da Gama,av.boa_viagem+av.vasco_da_gama,av = avenida,2.0
Mangabeira,Morro da Conceição,av.mangabeira+r.morro_da_conceição,av = avenida; r = rua,3.0
Mangabeira,Vasco da Gama,av.mangabeira+av.vasco_da_gama,av = avenida,2.0
Morro da Conceição,Vasco da Gama,r.morro_da_conceição+av.vasco_da_gama,av = avenida; r = rua,3.0
Brejo da Guabiraba,Brejo de Beberibe,av.brejo+r.de_beberibe,av = avenida; r = rua,3.0
Brejo da Guabiraba,Córrego do Jenipapo,av.brejo+r.córrego_do_jenipapo,av = avenida; r = rua,3.0
Brejo da Guabiraba,Guabiraba,av.brejo+r.guabiraba,av = avenida; r = rua,3.0
Brejo da Guabiraba,Macaxeira,av.brejo+av.macaxeira,av = avenida,2.0
Brejo da Guabiraba,Nova Descoberta,av.brejo+av.nova_descoberta,av = avenida,2.0
Brejo da Guabiraba,Passarinho,av.brejo+av.passarinho,av = avenida,2.0
Brejo da Guabiraba,Pau-Ferro,av.brejo+av.pau-ferro,av = avenida,2.0
Brejo de Beberibe,Córrego do Jenipapo,r.de_beberibe+r.córrego_do_jenipapo,r = rua,4.0
Brejo de Beberibe,Guabiraba,r.de_beberibe+av.guabiraba,av = avenida; r = rua,3.0
Brejo de Beberibe,Macaxeira,r.de_beberibe+av.macaxeira,av = avenida; r = rua,3.0
Brejo de Beberibe,Nova Descoberta,r.de_beberibe+av.nova_descoberta,av = avenida; r = rua,3.0
Brejo de Beberibe,Passarinho,r.de_beberibe+av.passarinho,av = avenida; r = rua,3.0
Brejo de Beberibe,Pau-Ferro,r.de_beberibe+av.pau-ferro,av = avenida; r = rua,3.0
Córrego do Jenipapo,Guabiraba,r.córrego_do_jenipapo+av.guabiraba,av = avenida; r = rua,3.0
Córrego do Jenipapo,Macaxeira,r.córrego_do_jenipapo+av.macaxeira,av = avenida; r = rua,3.0
Córrego do Jenipapo,Nova Descoberta,r.córrego_do_jenipapo+av.nova_descoberta,av = avenida; r = rua,3.0
Córrego do Jenipapo,Passarinho,r.córrego_do_jenipapo+av.passarinho,av = avenida; r = rua,3.0
Córrego do Jenipapo,Pau-Ferro,r.córrego_do_jenipapo+av.pau-ferro,av = avenida; r = rua,3.0
Guabiraba,Macaxeira,av.guabiraba+av.macaxeira,av = avenida,2.0
Guabiraba,Nova Descoberta,av.guabiraba+av.nova_descoberta,av = avenida,2.0
Guabiraba,Passarinho,av.guabiraba+av.passarinho,av = avenida,2.0
Guabiraba,Pau-Ferro,av.guabiraba+av.pau-ferro,av = avenida,2.0
Macaxeira,Nova Descoberta,av.macaxeira+av.nova_descoberta,av = avenida,2.0
Macaxeira,Passarinho,av.macaxeira+av.passarinho,av = avenida,2.0
Macaxeira,Pau-Ferro,av.macaxeira+av.pau-ferro,av = avenida,2.0
Nova Descoberta,Passarinho,av.nova_descoberta+av.passarinho,av = avenida,2.0
Nova Descoberta,Pau-Ferro,av.nova_descoberta+av.pau-ferro,av = avenida,2.0
Passarinho,Pau-Ferro,av.passarinho+av.pau-ferro,av = avenida,2.0
Cordeiro,Ilha do Retiro,av.cordeiro+av.ilha_do_retiro,av = avenida,2.0
Cordeiro,Iputinga,av.cordeiro+av.iputinga,av = avenida,2.0
Cordeiro,Madalena,av.cordeiro+av.madalena,av = avenida,2.0
Cordeiro,Prado,av.cordeiro+av.prado,av = avenida,2.0
Cordeiro,Torre,av.cordeiro+av.torre,av = avenida,2.0
Cordeiro,Zumbi,av.cordeiro+av.zumbi,av = avenida,2.0
Ilha do Retiro,Iputinga,av.ilha_do_retiro+av.iputinga,av = avenida,2.0
Ilha do Retiro,Madalena,av.ilha_do_retiro+av.madalena,av = avenida,2.0
Ilha do Retiro,Prado,av.ilha_do_retiro+av.prado,av = avenida,2.0
Ilha do Retiro,Torre,av.ilha_do_retiro+av.torre,av = avenida,2.0
Ilha do Retiro,Zumbi,av.ilha_do_retiro+av.zumbi,av = avenida,2.0
Iputinga,Madalena,av.iputinga+av.madalena,av = avenida,2.0
Iputinga,Prado,av.iputinga+av.prado,av = avenida,2.0
Iputinga,Torre,av.iputinga+av.torre,av = avenida,2.0
Iputinga,Zumbi,av.iputinga+av.zumbi,av = avenida,2.0
Madalena,Prado,av.madalena+av.prado,av = avenida,2.0
Madalena,Torre,av.madalena+av.torre,av = avenida,2.0
Madalena,Zumbi,av.madalena+av.zumbi,av = avenida,2.0
Prado,Torre,av.recife+av.beira_rio,av = avenida,2.0
Prado,Zumbi,av.recife+av.sul+av.maracanã,av = avenida,3.0
Torre,Zumbi,av.beira_rio+av.sul+av.maracanã,av = avenida,3.0
Engenho do Meio,Torrões,av.caxangá+r.torrões,av = avenida; r = rua,3.0
Caxangá,Cidade Universitária,av.caxangá+r.prof.luís_freire,av = avenida; r = rua,3.0
Caxangá,Várzea,av.caxangá,av = avenida,1.0
Cidade Universitária,Várzea,r.prof.luís_freire,r = rua,2.0
Afogados,Bongi,av.sul+av.recife,av = avenida,2.0
Afogados,Mangueira,av.recife+r.tres_de_marco,av = avenida; r = rua,3.0
Afogados,Mustardinha,av.sul+av.recife+r.mustardinha,av = avenida; r = rua,4.0
Afogados,San Martin,av.sul+av.recife+r.san_martin,av = avenida; r = rua,4.0
Bongi,Mangueira,av.recife+r.tres_de_marco,av = avenida; r = rua,3.0
Bongi,Mustardinha,av.recife+r.mustardinha,av = avenida; r = rua,3.0
Bongi,San Martin,av.recife+r.san_martin,av = avenida; r = rua,3.0
Mangueira,Mustardinha,r.tres_de_marco+r.mustardinha,r = rua,4.0
Mangueira,San Martin,r.tres_de_marco+r.san_martin,r = rua,4.0
Mustardinha,San Martin,r.mustardinha+r.san_martin,r = rua,4.0
Areias,Caçote,r.areias+r.caçote,r = rua,4.0
Areias,Estância,r.areias+r.estância,r = rua,4.0
Areias,Jiquiá,r.areias+av.brigadeiro,av = avenida; r = rua,3.0
Caçote,Estância,r.caçote+r.estância,r = rua,4.0
Caçote,Jiquiá,r.caçote+av.brigadeiro,av = avenida; r = rua,3.0
Estância,Jiquiá,r.estância+av.brigadeiro,av = avenida; r = rua,3.0
Barro,Coqueiral,r.barro+av.brigadeiro+r.coqueiral,av = avenida; r = rua,5.0
Barro,Curado,r.barro+av.brigadeiro+r.curado,av = avenida; r = rua,5.0
Barro,Jardim São Paulo,r.barro+av.sul+r.jardim_são_paulo,av = avenida; r = rua,5.0
Barro,Sancho,r.barro+av.brigadeiro+r.sancho,av = avenida; r = rua,5.0
Barro,Tejipió,r.barro+av.brigadeiro+r.tejipio,av = avenida; r = rua,5.0
Barro,Totó,r.barro+av.brigadeiro+r.totó,av = avenida; r = rua,5.0
Coqueiral,Curado,av.mascarenhas_de_moraes,av = avenida,1.0
Coqueiral,Jardim São Paulo,av.mascarenhas_de_moraes,av = avenida,1.0
Coqueiral,Sancho,av.mascarenhas_de_moraes,av = avenida,1.0
Coqueiral,Tejipió,av.mascarenhas_de_moraes,av = avenida,1.0
